Name,UserName,Timestamp,Verified,Tweets,Comments,Retweets,Likes,Impressions,Tags,Tweet Link,Tweet ID,Disaster
Drought Center,@DroughtCenter,2024-02-29T13:30:07.000Z,FALSE,"US Drought Monitor 2-29-24

Happy Leap Day! For the 50 states and Puerto Rico, the US Drought Monitor shows 18.09% in moderate drought or worse, compared to 16.62% last week.#droughtmonitor #drought #drought2024 #climate #science #data #maps #UnitedStates #USA #US",0,17,13,18000,"['#droughtmonitor', '#drought', '#drought2024', '#climate', '#science', '#data', '#maps', '#UnitedStates', '#USA', '#US']",https://twitter.com/DroughtCenter/status/1763194943802151140,1.76319E+18,Drought
Prabhakar Goud Kurmimdla,@PrabhakarGoud_K,2024-02-27T05:20:43.000Z,FALSE, Synonym is #Drought,0,0,1,13,['#Drought'],https://twitter.com/PrabhakarGoud_K/status/1762347007199563916,1.76235E+18,Drought
Humanity First International,@HFI1995,2024-03-03T07:03:34.000Z,FALSE,"Across South America in the last two months, #floods and #landslides in Bolivia and Ecuador, and #drought and #wildfires in Chile and Colombia are ongoing signs of the #ClimateCrisis",0,9,19,419,"['#floods', '#landslides', '#drought', '#wildfires', '#ClimateCrisis']",https://twitter.com/HFI1995/status/1764184829485039624,1.76418E+18,Floods
NCWQ Worldwide News And Disasters Explorer,@RTheExplorer1,2024-02-29T10:20:18.000Z,FALSE,Wildfires  Going On In Texas  #wildfires #texasfires,0,0,1,34,"['#wildfires', '#texasfires']",https://twitter.com/RTheExplorer1/status/1763147173816881627,1.76315E+18,Wildfire
BestDealsEver,@MilwaukeeHotBuy,2024-02-28T17:58:01.000Z,FALSE,START YOUR STAND UP COMEDY CAREER FOR $11.99  Purchase Link: https://buff.ly/2An6ULy C https://buff.ly/2G9fixh #thevoice #rhonj #taylorswift #mia #jordan #hurricanes #cbs #espn  #beautiful #dexter #chi #camden #jimmyfall,0,0,0,210,"['#thevoice', '#rhonj', '#taylorswift', '#mia', '#jordan', '#hurricanes', '#cbs', '#espn', '#beautiful', '#dexter', '#chi', '#camden', '#jimmyfall']",https://twitter.com/MilwaukeeHotBuy/status/1762899972188516642,1.7629E+18,Hurricanes
Lake Mead Water Level,@LakeMeadWater,2024-03-02T17:02:13.000Z,FALSE,#LakeMead #Drought #ColoradoRiver #HooverDam #LasVegas,0,7,19,1200,"['#LakeMead', '#Drought', '#ColoradoRiver', '#HooverDam', '#LasVegas']",https://twitter.com/LakeMeadWater/status/1763973095537185005,1.76397E+18,Drought
Lake Mead Water Level,@LakeMeadWater,2024-02-26T17:05:58.000Z,FALSE,#LakeMead #Drought #ColoradoRiver #HooverDam #LasVegas,0,6,22,1000,"['#LakeMead', '#Drought', '#ColoradoRiver', '#HooverDam', '#LasVegas']",https://twitter.com/LakeMeadWater/status/1762162099109630057,1.76216E+18,Drought
Western Investor,@westerninvestor,2024-02-26T17:00:48.000Z,FALSE,"Drought hits BC, Alberta hard, threatening broader impacts https://ow.ly/Atau50QHFwY #Drought #Prairies #AgricultureCanada",0,0,0,114,"['#Drought', '#Prairies', '#AgricultureCanada']",https://twitter.com/westerninvestor/status/1762160799026397653,1.76216E+18,Drought
Every Earthquake,@everyEarthquake,2024-03-04T06:14:06.000Z,TRUE,"USGS reports a M4.9 earthquake, South Sandwich Islands region on 3/4/24 @ 5:57:19 UTChttps://earthquake.usgs.gov/earthquakes/eventpage/us6000mglf…Try Every Earthquake on your iPhone! Grab the new app here: https://apps.apple.com/us/app/every-earthquake/id1518750802…#earthquake",0,0,0,189,['#earthquake'],https://twitter.com/everyEarthquake/status/1764534768144630220,1.76453E+18,Earthquake
Perry Fowler,@PLFTX,2024-02-28T00:36:51.000Z,TRUE,Just  reminder Lake Travis is 39% full - please conserve #txwater via ⁦⁩ #txwater #drought,0,0,2,89,"['#txwater', '#txwater', '#drought']",https://twitter.com/PLFTX/status/1762637957536616627,1.76264E+18,Drought
Joan D. Rollins : NO MoreWars!,@joan_rollins,2024-02-24T17:10:32.000Z,FALSE,Frack those bl...y #Frackers! More people~who don't pay attention~need to understand the horrendous amounts (in billions of H20 litres) of clean #Water these corporations deploy knowing full well BC is already in #Drought!    ,0,0,0,22,"['#Frackers', '#Water', '#Drought']",https://twitter.com/joan_rollins/status/1761438470818636183,1.76144E+18,Drought
FarmPolicy,@FarmPolicy,2024-03-04T02:00:00.000Z,TRUE,"The #drought along the #MississippiRiver is over, for now, according to the Army Corps of Engineers. But, ""it won’t take a very prolonged period of dry conditions to all of a sudden return us back to low #water conditions.""",0,5,3,1500,"['#drought', '#MississippiRiver', '#water']",https://twitter.com/FarmPolicy/status/1764470822226305234,1.76447E+18,Drought
Dan Marries,@DanMarriesKOLD,2024-02-28T15:14:03.000Z,FALSE,"#Wildfires are burning out of control across the plains in #Nebraska, #Oklahoma, and #Texas.",0,2,0,391,"['#Wildfires', '#Nebraska', '#Oklahoma', '#Texas']",https://twitter.com/DanMarriesKOLD/status/1762858709368316117,1.76286E+18,Wildfire
Earthquake Network,@SismoDetector,2024-03-04T06:25:39.000Z,TRUE,"#earthquake reported by the users of the app Earthquake Network at 1km from #Almaty, Kazakhstan. 29 reports in a radius of 29km. Download the app from https://sismo.app/download to receive real time alerts",0,0,3,1200,"['#earthquake', '#Almaty']",https://twitter.com/SismoDetector/status/1764537674419806480,1.76454E+18,Earthquake
Things About God,@ThingsAboutGod,2024-02-28T23:54:39.000Z,FALSE,"DROUGHT, FAMINE, WAR ... HAS GOD LOST CONTROL? ▸http://dld.bz/dRYWH  | #disease #tornadoes #earthquakes",0,0,0,25,"['#disease', '#tornadoes', '#earthquakes']",https://twitter.com/ThingsAboutGod/status/1762989724392706191,1.76299E+18,Tornadoes
